"Category","Hombre","Mujer","Indeterminado"
"MEXICANA",149973,107056,271
"SE DESCONOCE",9391,3684,569
"SIN NACIONALIDAD DE REFERENCIA",3360,4291,0
"ESTADOUNIDENSE",640,552,0
"HONDUREÑA",485,220,1
"GUATEMALTECA",396,166,1
"COLOMBIANA",212,69,1
"SALVADORENA",167,94,1
"NICARAGUENSE",122,51,1
"CUBANA",109,49,8
"VENEZOLANA",96,46,2
"CANADIENSE",42,15,0
"PERUANA",41,17,0
"HINDU",25,2,1
"ARGENTINA",22,6,0
"ECUATORIANA",21,9,23
"BRASILENA",20,6,0
"ESPANOLA",17,4,0
"BELICENA",14,9,0
"ITALIANA",13,7,0
"DOMINICANA",12,1,0
"MARROQUI",11,4,0
"RUSA",10,16,0
"HAITIANA",9,6,0
"CHINA",7,2,0
"COSTARRICENSE",7,6,0
"INGLESA",7,2,0
"POLACA",6,3,0
"ESTADOS INDEPENDIENTES",6,4,0
"FRANCESA",6,2,0