"Category","Personas (x)","Personas (y)"
"Aguascalientes",0,
"Baja California",1,
"Baja California Sur",2,
"Campeche",3,
"Coahuila",4,
"Colima",5,
"Chiapas",6,
"Chihuahua",7,
"Distrito Federal",8,
"Durango",9,
"Guanajuato",10,
"Guerrero",11,
"Hidalgo",12,
"Jalisco",13,
"México",14,
"Michoacán",15,
"Morelos",16,
"Nayarit",17,
"Nuevo León",18,
"Oaxaca",19,
"Puebla",20,
"Querétaro",21,
"Quintana Roo",22,
"San Luis Potosí",23,
"Sinaloa",24,
"Sonora",25,
"Tabasco",26,
"Tamaulipas",27,
"Tlaxcala",28,
"Veracruz",29,
"Yucatán",30,
"Zacatecas",31,
32,32,